texte,quantity_kg,article_context,machine_context
Réf. recette — defoamer Afranil rupture mousse,285.219,,
Réf. recette — defoamer Afranil rupture mousse (kg/t),359.599,,
Réf. recette — defoamer Afranil rupture mousse kg/t papier,277.817,,
Réf. recette — defoamer Afranil rupture mousse machine PM,130.96,,
Réf. recette — defoamer Afranil rupture mousse ratio,179.162,,
Réf. recette — defoamer Afranil rupture mousse tour formation,305.719,,
Réf. recette — defoamer Afranil rupture mousse wet end,310.531,,
Réf. recette — defoamer Afranil rupture mousse — ligne papier,257.789,,
Réf. recette — defoamer Erol ligne carton,362.612,,
Réf. recette — defoamer Erol ligne carton (kg/t),226.979,,
Réf. recette — defoamer Erol ligne carton kg/t papier,481.838,,
Réf. recette — defoamer Erol ligne carton machine PM,322.512,,
Réf. recette — defoamer Erol ligne carton ratio,237.321,,
Réf. recette — defoamer Erol ligne carton tour formation,213.671,,
Réf. recette — defoamer Erol ligne carton wet end,397.872,,
Réf. recette — defoamer Erol ligne carton — ligne papier,247.951,,
Réf. recette — defoamer ratio (Defoamer 1 (afranil)),94.444,,
Réf. recette — defoamer ratio (Defoamer 1 (afranil)) (kg/t),165.219,,
Réf. recette — defoamer ratio (Defoamer 1 (afranil)) kg/t papier,35.335,,
Réf. recette — defoamer ratio (Defoamer 1 (afranil)) machine PM,209.759,,
Réf. recette — defoamer ratio (Defoamer 1 (afranil)) ratio,56.309,,
Réf. recette — defoamer ratio (Defoamer 1 (afranil)) tour formation,456.644,,
Réf. recette — defoamer ratio (Defoamer 1 (afranil)) wet end,452.764,,
Réf. recette — defoamer ratio (Defoamer 1 (afranil)) — ligne papier,87.364,,
Réf. recette — Dosage biocide Cannelure Fluting,289.571,,
Réf. recette — Dosage biocide Cannelure Fluting (kg/t),278.625,,
Réf. recette — Dosage biocide Cannelure Fluting kg/t papier,390.659,,
Réf. recette — Dosage biocide Cannelure Fluting machine PM,334.223,,
Réf. recette — Dosage biocide Cannelure Fluting ratio,122.205,,
Réf. recette — Dosage biocide Cannelure Fluting tour formation,13.313,,
Réf. recette — Dosage biocide Cannelure Fluting wet end,197.009,,
Réf. recette — Dosage biocide Cannelure Fluting — ligne papier,13.731,,
Réf. recette — Dye ratio (Wet end),345.764,,
Réf. recette — Dye ratio (Wet end) (kg/t),255.678,,
Réf. recette — Dye ratio (Wet end) kg/t papier,15.928,,
Réf. recette — Dye ratio (Wet end) machine PM,185.758,,
Réf. recette — Dye ratio (Wet end) ratio,174.924,,
Réf. recette — Dye ratio (Wet end) tour formation,126.436,,
Réf. recette — Dye ratio (Wet end) wet end,162.861,,
Réf. recette — Dye ratio (Wet end) — ligne papier,18.684,,
Réf. recette — Dye ratio wet end TestLiner coloré,158.053,,
Réf. recette — Dye ratio wet end TestLiner coloré (kg/t),304.092,,
Réf. recette — Dye ratio wet end TestLiner coloré kg/t papier,474.89,,
Réf. recette — Dye ratio wet end TestLiner coloré machine PM,274.926,,
Réf. recette — Dye ratio wet end TestLiner coloré ratio,195.075,,
Réf. recette — Dye ratio wet end TestLiner coloré tour formation,284.144,,
Réf. recette — Dye ratio wet end TestLiner coloré wet end,245.816,,
Réf. recette — Dye ratio wet end TestLiner coloré — ligne papier,45.04,,
Réf. recette — Krofta Polymer ratio,310.273,,
Réf. recette — Krofta Polymer ratio (kg/t),298.804,,
Réf. recette — Krofta Polymer ratio kg/t papier,417.845,,
Réf. recette — Krofta Polymer ratio machine PM,447.207,,
Réf. recette — Krofta Polymer ratio ratio,293.205,,
Réf. recette — Krofta Polymer ratio tour formation,48.166,,
Réf. recette — Krofta Polymer ratio wet end,11.502,,
Réf. recette — Krofta Polymer ratio — ligne papier,170.63,,
Réf. recette — PAC,373.056,,
Réf. recette — PAC (kg/t),272.384,,
Réf. recette — PAC coagulant tour de formation,239.313,,
Réf. recette — PAC coagulant tour de formation (kg/t),108.126,,
Réf. recette — PAC coagulant tour de formation kg/t papier,102.265,,
Réf. recette — PAC coagulant tour de formation machine PM,70.269,,
Réf. recette — PAC coagulant tour de formation ratio,401.183,,
Réf. recette — PAC coagulant tour de formation tour formation,383.039,,
Réf. recette — PAC coagulant tour de formation wet end,169.627,,
Réf. recette — PAC coagulant tour de formation — ligne papier,145.95,,
Réf. recette — PAC kg/t papier,222.873,,
Réf. recette — PAC machine PM,18.609,,
Réf. recette — PAC ratio,109.657,,
Réf. recette — PAC tour formation,117.833,,
Réf. recette — PAC wet end,90.336,,
Réf. recette — PAC — ligne papier,482.943,,
Réf. recette — Polymère clarification flottation Krofta,130.39,,
Réf. recette — Polymère clarification flottation Krofta (kg/t),474.645,,
Réf. recette — Polymère clarification flottation Krofta kg/t papier,163.223,,
Réf. recette — Polymère clarification flottation Krofta machine PM,270.825,,
Réf. recette — Polymère clarification flottation Krofta ratio,209.005,,
Réf. recette — Polymère clarification flottation Krofta tour formation,225.942,,
Réf. recette — Polymère clarification flottation Krofta wet end,408.077,,
Réf. recette — Polymère clarification flottation Krofta — ligne papier,67.428,,
Réf. recette — Prestige cleaning aids Ratio (prestige),225.571,,
Réf. recette — Prestige cleaning aids Ratio (prestige) (kg/t),203.15,,
Réf. recette — Prestige cleaning aids Ratio (prestige) kg/t papier,436.757,,
Réf. recette — Prestige cleaning aids Ratio (prestige) machine PM,263.603,,
Réf. recette — Prestige cleaning aids Ratio (prestige) ratio,16.586,,
Réf. recette — Prestige cleaning aids Ratio (prestige) tour formation,475.285,,
Réf. recette — Prestige cleaning aids Ratio (prestige) wet end,151.217,,
Réf. recette — Prestige cleaning aids Ratio (prestige) — ligne papier,275.443,,
Réf. recette — Prestige nettoyage filtre / circuit,4.55,,
Réf. recette — Prestige nettoyage filtre / circuit (kg/t),432.863,,
Réf. recette — Prestige nettoyage filtre / circuit kg/t papier,10.199,,
Réf. recette — Prestige nettoyage filtre / circuit machine PM,266.887,,
Réf. recette — Prestige nettoyage filtre / circuit ratio,97.329,,
Réf. recette — Prestige nettoyage filtre / circuit tour formation,87.147,,
Réf. recette — Prestige nettoyage filtre / circuit wet end,97.118,,
Réf. recette — Prestige nettoyage filtre / circuit — ligne papier,36.134,,
Réf. recette — retention aids fines et charges,169.283,,
Réf. recette — retention aids fines et charges (kg/t),144.626,,
Réf. recette — retention aids fines et charges kg/t papier,108.718,,
Réf. recette — retention aids fines et charges machine PM,468.274,,
Réf. recette — retention aids fines et charges ratio,17.259,,
Réf. recette — retention aids fines et charges tour formation,467.191,,
Réf. recette — retention aids fines et charges wet end,44.817,,
Réf. recette — retention aids fines et charges — ligne papier,495.732,,
Réf. recette — Retention aids ratio,43.357,,
Réf. recette — Retention aids ratio (kg/t),321.068,,
Réf. recette — Retention aids ratio kg/t papier,284.529,,
Réf. recette — Retention aids ratio machine PM,26.837,,
Réf. recette — Retention aids ratio ratio,12.854,,
Réf. recette — Retention aids ratio tour formation,178.385,,
Réf. recette — Retention aids ratio wet end,77.643,,
Réf. recette — Retention aids ratio — ligne papier,232.942,,
Réf. recette — Rétention aids ratio ligne production,374.451,,
Réf. recette — Rétention aids ratio ligne production (kg/t),205.957,,
Réf. recette — Rétention aids ratio ligne production kg/t papier,388.203,,
Réf. recette — Rétention aids ratio ligne production machine PM,337.94,,
Réf. recette — Rétention aids ratio ligne production ratio,16.202,,
Réf. recette — Rétention aids ratio ligne production tour formation,414.505,,
Réf. recette — Rétention aids ratio ligne production wet end,356.766,,
Réf. recette — Rétention aids ratio ligne production — ligne papier,438.805,,
Réf. recette — Size Press,34.131,,
Réf. recette — Size Press (kg/t),305.275,,
Réf. recette — Size Press kg/t papier,79.776,,
Réf. recette — Size Press machine PM,8.092,,
Réf. recette — Size Press ratio,456.228,,
Réf. recette — Size Press tour formation,142.149,,
Réf. recette — Size Press wet end,442.734,,
Réf. recette — Size Press — ligne papier,447.431,,
Réf. recette — Sizing Kraft (Agent collage ASA),315.392,,
Réf. recette — Sizing Kraft (Agent collage ASA) (kg/t),467.928,,
Réf. recette — Sizing Kraft (Agent collage ASA) kg/t papier,317.368,,
Réf. recette — Sizing Kraft (Agent collage ASA) machine PM,361.08,,
Réf. recette — Sizing Kraft (Agent collage ASA) ratio,440.72,,
Réf. recette — Sizing Kraft (Agent collage ASA) tour formation,337.307,,
Réf. recette — Sizing Kraft (Agent collage ASA) wet end,114.056,,
Réf. recette — Sizing Kraft (Agent collage ASA) — ligne papier,102.069,,
Réf. recette — Sizing PPO (Agent de collage),154.359,,
Réf. recette — Sizing PPO (Agent de collage) (kg/t),352.715,,
Réf. recette — Sizing PPO (Agent de collage) kg/t papier,436.808,,
Réf. recette — Sizing PPO (Agent de collage) machine PM,216.316,,
Réf. recette — Sizing PPO (Agent de collage) ratio,101.638,,
Réf. recette — Sizing PPO (Agent de collage) tour formation,390.832,,
Réf. recette — Sizing PPO (Agent de collage) wet end,279.492,,
Réf. recette — Sizing PPO (Agent de collage) — ligne papier,483.05,,
Réf. recette — Sizing PPO collage humide TestLiner,335.501,,
Réf. recette — Sizing PPO collage humide TestLiner (kg/t),264.115,,
Réf. recette — Sizing PPO collage humide TestLiner kg/t papier,334.832,,
Réf. recette — Sizing PPO collage humide TestLiner machine PM,359.453,,
Réf. recette — Sizing PPO collage humide TestLiner ratio,9.678,,
Réf. recette — Sizing PPO collage humide TestLiner tour formation,410.751,,
Réf. recette — Sizing PPO collage humide TestLiner wet end,322.292,,
Réf. recette — Sizing PPO collage humide TestLiner — ligne papier,23.714,,
Réf. recette — Starch cationic ratio,82.979,,
Réf. recette — Starch cationic ratio (kg/t),67.283,,
Réf. recette — Starch cationic ratio kg/t papier,391.474,,
Réf. recette — Starch cationic ratio machine PM,242.636,,
Réf. recette — Starch cationic ratio masse,78.283,,
Réf. recette — Starch cationic ratio masse (kg/t),257.356,,
Réf. recette — Starch cationic ratio masse kg/t papier,344.178,,
Réf. recette — Starch cationic ratio masse machine PM,199.772,,
Réf. recette — Starch cationic ratio masse ratio,467.914,,
Réf. recette — Starch cationic ratio masse tour formation,108.027,,
Réf. recette — Starch cationic ratio masse wet end,128.187,,
Réf. recette — Starch cationic ratio masse — ligne papier,325.987,,
Réf. recette — Starch cationic ratio ratio,151.708,,
Réf. recette — Starch cationic ratio tour formation,123.594,,
Réf. recette — Starch cationic ratio wet end,427.925,,
Réf. recette — Starch cationic ratio — ligne papier,433.59,,
Réf. recette — starch cationic — masse humide,452.329,,
Réf. recette — starch cationic — masse humide (kg/t),459.231,,
Réf. recette — starch cationic — masse humide kg/t papier,60.419,,
Réf. recette — starch cationic — masse humide machine PM,464.427,,
Réf. recette — starch cationic — masse humide ratio,393.565,,
Réf. recette — starch cationic — masse humide tour formation,175.282,,
Réf. recette — starch cationic — masse humide wet end,173.764,,
Réf. recette — starch cationic — masse humide — ligne papier,395.526,,
Réf. recette — Starch oxidized ratio,448.167,,
Réf. recette — Starch oxidized ratio (kg/t),292.511,,
Réf. recette — Starch oxidized ratio kg/t papier,21.387,,
Réf. recette — Starch oxidized ratio machine PM,356.756,,
Réf. recette — Starch oxidized ratio ratio,365.574,,
Réf. recette — Starch oxidized ratio surface sèche,38.366,,
Réf. recette — Starch oxidized ratio surface sèche (kg/t),116.745,,
Réf. recette — Starch oxidized ratio surface sèche kg/t papier,89.408,,
Réf. recette — Starch oxidized ratio surface sèche machine PM,227.02,,
Réf. recette — Starch oxidized ratio surface sèche ratio,481.562,,
Réf. recette — Starch oxidized ratio surface sèche tour formation,293.172,,
Réf. recette — Starch oxidized ratio surface sèche wet end,422.998,,
Réf. recette — Starch oxidized ratio surface sèche — ligne papier,121.844,,
Réf. recette — Starch oxidized ratio tour formation,215.792,,
Réf. recette — Starch oxidized ratio wet end,159.445,,
Réf. recette — Starch oxidized ratio — ligne papier,309.355,,
Réf. recette — starch oxidized traitement surface (size press),183.018,,
Réf. recette — starch oxidized traitement surface (size press) (kg/t),458.035,,
Réf. recette — starch oxidized traitement surface (size press) kg/t papier,351.538,,
Réf. recette — starch oxidized traitement surface (size press) machine PM,355.965,,
Réf. recette — starch oxidized traitement surface (size press) ratio,172.356,,
Réf. recette — starch oxidized traitement surface (size press) tour formation,257.48,,
Réf. recette — starch oxidized traitement surface (size press) wet end,438.888,,
Réf. recette — starch oxidized traitement surface (size press) — ligne papier,443.892,,
Rétention aids ratio ligne production,129.638,,
Rétention aids ratio ligne production (kg/t),229.497,,
Rétention aids ratio ligne production kg/t papier,169.6,,
Rétention aids ratio ligne production machine PM,491.916,,
Rétention aids ratio ligne production ratio,432.902,,
Rétention aids ratio ligne production tour formation,380.599,,
Rétention aids ratio ligne production wet end,31.263,,
Rétention aids ratio ligne production — ligne papier,332.487,,
Size Press,328.984,,
Size Press (kg/t),112.746,,
Size Press (TestLiner Coloré / Test coloré),77.807,,
Size Press kg/t papier,404.634,,
Size Press machine PM,176.016,,
Size Press ratio,287.315,,
Size Press tour formation,128.669,,
Size Press wet end,313.754,,
Size Press — ligne papier,221.894,,
Size Press — TestLiner Coloré / Test coloré,414.051,,
Sizing Kraft (Agent collage ASA),467.032,,
Sizing Kraft (Agent collage ASA) (kg/t),412.019,,
Sizing Kraft (Agent collage ASA) (Kraft pour sacs / Kraft_PM2),71.729,,
Sizing Kraft (Agent collage ASA) kg/t papier,418.463,,
Sizing Kraft (Agent collage ASA) machine PM,212.514,,
Sizing Kraft (Agent collage ASA) ratio,453.73,,
Sizing Kraft (Agent collage ASA) tour formation,446.468,,
Sizing Kraft (Agent collage ASA) wet end,185.653,,
Sizing Kraft (Agent collage ASA) — Kraft pour sacs / Kraft_PM2,80.581,,
Sizing Kraft (Agent collage ASA) — ligne papier,395.249,,
Sizing PPO (Agent de collage),408.598,,
Sizing PPO (Agent de collage) (kg/t),289.219,,
Sizing PPO (Agent de collage) (SotiKraft / SotiKraft Coloré (KraftLiner) / Sotikraft),100.778,,
Sizing PPO (Agent de collage) (TestLiner / Testliner),408.765,,
Sizing PPO (Agent de collage) (TestLiner Coloré / Test coloré),166.746,,
Sizing PPO (Agent de collage) kg/t papier,399.699,,
Sizing PPO (Agent de collage) machine PM,430.307,,
Sizing PPO (Agent de collage) ratio,399.234,,
Sizing PPO (Agent de collage) tour formation,263.072,,
Sizing PPO (Agent de collage) wet end,233.913,,
Sizing PPO (Agent de collage) — ligne papier,326.434,,
Sizing PPO (Agent de collage) — SotiKraft / SotiKraft Coloré (KraftLiner) / Sotikraft,260.986,,
Sizing PPO (Agent de collage) — TestLiner / Testliner,483.638,,
Sizing PPO (Agent de collage) — TestLiner Coloré / Test coloré,275.268,,
Sizing PPO collage humide TestLiner,89.516,,
Sizing PPO collage humide TestLiner (kg/t),475.163,,
Sizing PPO collage humide TestLiner kg/t papier,362.35,,
Sizing PPO collage humide TestLiner machine PM,282.729,,
Sizing PPO collage humide TestLiner ratio,119.935,,
Sizing PPO collage humide TestLiner tour formation,457.932,,
Sizing PPO collage humide TestLiner wet end,150.003,,
Sizing PPO collage humide TestLiner — ligne papier,454.838,,
SotiKraft / SotiKraft Coloré (KraftLiner) / Sotikraft : Biocide ratio,479.943,,
SotiKraft / SotiKraft Coloré (KraftLiner) / Sotikraft : Defoamer 2 (Erol),229.286,,
SotiKraft / SotiKraft Coloré (KraftLiner) / Sotikraft : defoamer ratio (Defoamer 1 (afranil)),297.54,,
SotiKraft / SotiKraft Coloré (KraftLiner) / Sotikraft : Dye ratio (Wet end),284.629,,
SotiKraft / SotiKraft Coloré (KraftLiner) / Sotikraft : Krofta Polymer ratio,439.501,,
SotiKraft / SotiKraft Coloré (KraftLiner) / Sotikraft : PAC,326.229,,
SotiKraft / SotiKraft Coloré (KraftLiner) / Sotikraft : Retention aids ratio,28.27,,
SotiKraft / SotiKraft Coloré (KraftLiner) / Sotikraft : Sizing PPO (Agent de collage),183.39,,
SotiKraft / SotiKraft Coloré (KraftLiner) / Sotikraft : Starch cationic ratio,230.09,,
SotiKraft / SotiKraft Coloré (KraftLiner) / Sotikraft : Starch oxidized ratio,305.265,,
Starch cationic ratio,381.515,,
Starch cationic ratio (Cannelure (Fluting) / Fluting),483.44,,
Starch cationic ratio (Cannelure (Fluting) / Fluting_PM3),149.189,,
Starch cationic ratio (kg/t),72.01,,
Starch cationic ratio (Kraft pour sacs / Kraft_PM2),200.557,,
Starch cationic ratio (SotiKraft / SotiKraft Coloré (KraftLiner) / Sotikraft),348.417,,
Starch cationic ratio (TestLiner / Testliner),222.655,,
Starch cationic ratio (TestLiner Coloré / Test coloré),202.847,,
Starch cationic ratio kg/t papier,91.038,,
Starch cationic ratio machine PM,217.808,,
Starch cationic ratio masse,52.125,,
Starch cationic ratio masse (kg/t),151.835,,
Starch cationic ratio masse kg/t papier,10.636,,
Starch cationic ratio masse machine PM,294.507,,
Starch cationic ratio masse ratio,325.178,,
Starch cationic ratio masse tour formation,421.103,,
Starch cationic ratio masse wet end,325.017,,
Starch cationic ratio masse — ligne papier,87.689,,
Starch cationic ratio ratio,60.206,,
Starch cationic ratio tour formation,328.693,,
Starch cationic ratio wet end,343.698,,
Starch cationic ratio — Cannelure (Fluting) / Fluting,120.941,,
Starch cationic ratio — Cannelure (Fluting) / Fluting_PM3,7.08,,
Starch cationic ratio — Kraft pour sacs / Kraft_PM2,165.178,,
Starch cationic ratio — ligne papier,114.783,,
Starch cationic ratio — SotiKraft / SotiKraft Coloré (KraftLiner) / Sotikraft,122.467,,
Starch cationic ratio — TestLiner / Testliner,474.493,,
Starch cationic ratio — TestLiner Coloré / Test coloré,456.778,,
starch cationic — masse humide,281.691,,
starch cationic — masse humide (kg/t),73.488,,
starch cationic — masse humide kg/t papier,466.079,,
starch cationic — masse humide machine PM,487.029,,
starch cationic — masse humide ratio,240.052,,
starch cationic — masse humide tour formation,327.724,,
starch cationic — masse humide wet end,40.893,,
starch cationic — masse humide — ligne papier,19.784,,
Starch oxidized ratio,166.163,,
Starch oxidized ratio (Cannelure (Fluting) / Fluting),147.195,,
Starch oxidized ratio (kg/t),348.799,,
Starch oxidized ratio (SotiKraft / SotiKraft Coloré (KraftLiner) / Sotikraft),402.232,,
Starch oxidized ratio kg/t papier,352.8,,
Starch oxidized ratio machine PM,38.947,,
Starch oxidized ratio ratio,139.054,,
Starch oxidized ratio surface sèche,162.875,,
Starch oxidized ratio surface sèche (kg/t),125.89,,
Starch oxidized ratio surface sèche kg/t papier,173.09,,
Starch oxidized ratio surface sèche machine PM,63.263,,
Starch oxidized ratio surface sèche ratio,269.943,,
Starch oxidized ratio surface sèche tour formation,135.387,,
Starch oxidized ratio surface sèche wet end,316.4,,
Starch oxidized ratio surface sèche — ligne papier,104.963,,
Starch oxidized ratio tour formation,445.23,,
Starch oxidized ratio wet end,434.933,,
Starch oxidized ratio — Cannelure (Fluting) / Fluting,293.409,,
Starch oxidized ratio — ligne papier,117.281,,
Starch oxidized ratio — SotiKraft / SotiKraft Coloré (KraftLiner) / Sotikraft,404.803,,
starch oxidized traitement surface (size press),115.262,,
starch oxidized traitement surface (size press) (kg/t),424.878,,
starch oxidized traitement surface (size press) kg/t papier,281.127,,
starch oxidized traitement surface (size press) machine PM,482.095,,
starch oxidized traitement surface (size press) ratio,179.064,,
starch oxidized traitement surface (size press) tour formation,281.467,,
starch oxidized traitement surface (size press) wet end,10.278,,
starch oxidized traitement surface (size press) — ligne papier,261.865,,
TestLiner / Testliner : Biocide ratio,179.534,,
TestLiner / Testliner : Defoamer 2 (Erol),464.109,,
TestLiner / Testliner : defoamer ratio (Defoamer 1 (afranil)),338.151,,
TestLiner / Testliner : Krofta Polymer ratio,209.59,,
TestLiner / Testliner : PAC,270.242,,
TestLiner / Testliner : Retention aids ratio,344.75,,
TestLiner / Testliner : Sizing PPO (Agent de collage),454.237,,
TestLiner / Testliner : Starch cationic ratio,88.49,,
TestLiner Coloré / Test coloré : Biocide ratio,9.046,,
TestLiner Coloré / Test coloré : Defoamer 2 (Erol),30.662,,
TestLiner Coloré / Test coloré : defoamer ratio (Defoamer 1 (afranil)),30.256,,
TestLiner Coloré / Test coloré : Dye ratio (Wet end),110.997,,
TestLiner Coloré / Test coloré : Krofta Polymer ratio,426.586,,
TestLiner Coloré / Test coloré : PAC,72.421,,
TestLiner Coloré / Test coloré : Retention aids ratio,345.433,,
TestLiner Coloré / Test coloré : Size Press,169.724,,
TestLiner Coloré / Test coloré : Sizing PPO (Agent de collage),98.934,,
TestLiner Coloré / Test coloré : Starch cationic ratio,492.373,,
[Cannelure (Fluting)] Fiber ratio,41.48,Cannelure (Fluting),
[Cannelure (Fluting)] waste paper Ratio,485.282,Cannelure (Fluting),
[Kraft pour sacs] Fiber ratio,266.933,Kraft pour sacs,
[Kraft pour sacs] Flocon pulp ratio,220.693,Kraft pour sacs,
[Kraft pour sacs] Pulp Ratio,51.309,Kraft pour sacs,
[Kraft pour sacs] Standard Pulp ratio,338.503,Kraft pour sacs,
[Kraft pour sacs] waste paper Ratio,470.081,Kraft pour sacs,
[SotiKraft / SotiKraft Coloré (KraftLiner)] Fiber ratio,421.173,SotiKraft / SotiKraft Coloré (KraftLiner),
[SotiKraft / SotiKraft Coloré (KraftLiner)] waste paper Ratio,98.451,SotiKraft / SotiKraft Coloré (KraftLiner),
[TestLiner Coloré] Fiber ratio,386.574,TestLiner Coloré,
[TestLiner Coloré] waste paper Ratio,139.134,TestLiner Coloré,
[TestLiner] Fiber ratio,26.421,TestLiner,
[TestLiner] waste paper Ratio,111.466,TestLiner,
Ajout masse Apport pâte standard et flocon,100.691,,
Ajout masse Apport pâte standard et flocon (kg/t),397.514,,
Ajout masse Apport pâte standard et flocon kg/t papier,338.165,,
Ajout masse Apport pâte standard et flocon machine PM,493.537,,
Ajout masse Apport pâte standard et flocon ratio,184.114,,
Ajout masse Apport pâte standard et flocon tour formation,216.258,,
Ajout masse Apport pâte standard et flocon wet end,295.674,,
Ajout masse Apport pâte standard et flocon — ligne papier,206.312,,
Ajout masse Apport standard pulp et flocon,103.301,,
Ajout masse Apport standard pulp et flocon (kg/t),499.313,,
Ajout masse Apport standard pulp et flocon kg/t papier,233.916,,
Ajout masse Apport standard pulp et flocon machine PM,495.034,,
Ajout masse Apport standard pulp et flocon ratio,11.827,,
Ajout masse Apport standard pulp et flocon tour formation,284.181,,
Ajout masse Apport standard pulp et flocon wet end,51.83,,
Ajout masse Apport standard pulp et flocon — ligne papier,69.691,,
Ajout masse Article carton : déchets de papier ratio masse,437.928,,
Ajout masse Article carton : déchets de papier ratio masse (kg/t),12.467,,
Ajout masse Article carton : déchets de papier ratio masse kg/t papier,331.99,,
Ajout masse Article carton : déchets de papier ratio masse machine PM,393.531,,
Ajout masse Article carton : déchets de papier ratio masse ratio,145.647,,
Ajout masse Article carton : déchets de papier ratio masse tour formation,436.283,,
Ajout masse Article carton : déchets de papier ratio masse wet end,78.245,,
Ajout masse Article carton : déchets de papier ratio masse — ligne papier,337.309,,
Ajout masse Article carton : papier de récupération ratio masse,317.319,,
Ajout masse Article carton : papier de récupération ratio masse (kg/t),114.049,,
Ajout masse Article carton : papier de récupération ratio masse kg/t papier,53.596,,
Ajout masse Article carton : papier de récupération ratio masse machine PM,352.378,,
Ajout masse Article carton : papier de récupération ratio masse ratio,81.307,,
Ajout masse Article carton : papier de récupération ratio masse tour formation,466.094,,
Ajout masse Article carton : papier de récupération ratio masse wet end,282.517,,
Ajout masse Article carton : papier de récupération ratio masse — ligne papier,329.051,,
Ajout masse Article carton : pâte standard fibre vierge,12.121,,
Ajout masse Article carton : pâte standard fibre vierge (kg/t),253.566,,
Ajout masse Article carton : pâte standard fibre vierge kg/t papier,155.973,,
Ajout masse Article carton : pâte standard fibre vierge machine PM,414.969,,
Ajout masse Article carton : pâte standard fibre vierge ratio,399.197,,
Ajout masse Article carton : pâte standard fibre vierge tour formation,409.707,,
Ajout masse Article carton : pâte standard fibre vierge wet end,468.8,,
Ajout masse Article carton : pâte standard fibre vierge — ligne papier,303.266,,
Ajout masse Article carton : Standard pulp fibre vierge,376.171,,
Ajout masse Article carton : Standard pulp fibre vierge (kg/t),489.102,,
Ajout masse Article carton : Standard pulp fibre vierge kg/t papier,440.458,,
Ajout masse Article carton : Standard pulp fibre vierge machine PM,304.778,,
Ajout masse Article carton : Standard pulp fibre vierge ratio,419.748,,
Ajout masse Article carton : Standard pulp fibre vierge tour formation,337.411,,
Ajout masse Article carton : Standard pulp fibre vierge wet end,93.798,,
Ajout masse Article carton : Standard pulp fibre vierge — ligne papier,41.205,,
Ajout masse Article carton : Waste paper ratio masse,145.959,,
Ajout masse Article carton : Waste paper ratio masse (kg/t),445.449,,
Ajout masse Article carton : Waste paper ratio masse kg/t papier,292.787,,
Ajout masse Article carton : Waste paper ratio masse machine PM,248.889,,
Ajout masse Article carton : Waste paper ratio masse ratio,185.972,,
Ajout masse Article carton : Waste paper ratio masse tour formation,45.523,,
Ajout masse Article carton : Waste paper ratio masse wet end,293.97,,
Ajout masse Article carton : Waste paper ratio masse — ligne papier,278.84,,
Ajout masse déchets de papier Ratio,291.11,,
Ajout masse déchets de papier Ratio (kg/t),451.039,,
Ajout masse déchets de papier Ratio kg/t papier,473.964,,
Ajout masse déchets de papier Ratio machine PM,289.881,,
Ajout masse déchets de papier ratio masse,344.864,,
Ajout masse déchets de papier ratio masse (kg/t),450.401,,
Ajout masse déchets de papier ratio masse kg/t papier,422.475,,
Ajout masse déchets de papier ratio masse machine PM,80.116,,
Ajout masse déchets de papier ratio masse ratio,381.813,,
Ajout masse déchets de papier ratio masse tour formation,402.276,,
Ajout masse déchets de papier ratio masse wet end,359.057,,
Ajout masse déchets de papier ratio masse — ligne papier,10.124,,
Ajout masse déchets de papier Ratio ratio,11.641,,
Ajout masse déchets de papier Ratio tour formation,278.12,,
Ajout masse déchets de papier Ratio wet end,459.694,,
Ajout masse déchets de papier Ratio — ligne papier,359.083,,
Ajout masse Fiber ratio,21.512,,
Ajout masse Fiber ratio (kg/t),271.041,,
Ajout masse fiber ratio / déchets papier process,201.422,,
Ajout masse fiber ratio / déchets papier process (kg/t),261.836,,
Ajout masse fiber ratio / déchets papier process kg/t papier,73.174,,
Ajout masse fiber ratio / déchets papier process machine PM,92.923,,
Ajout masse fiber ratio / déchets papier process ratio,290.49,,
Ajout masse fiber ratio / déchets papier process tour formation,125.891,,
Ajout masse fiber ratio / déchets papier process wet end,95.213,,
Ajout masse fiber ratio / déchets papier process — ligne papier,112.626,,
Ajout masse fiber ratio déchets papier,18.144,,
Ajout masse fiber ratio déchets papier (kg/t),162.183,,
Ajout masse fiber ratio déchets papier kg/t papier,139.696,,
Ajout masse fiber ratio déchets papier machine PM,42.318,,
Ajout masse fiber ratio déchets papier ratio,261.613,,
Ajout masse fiber ratio déchets papier tour formation,226.112,,
Ajout masse fiber ratio déchets papier wet end,252.252,,
Ajout masse fiber ratio déchets papier — ligne papier,427.785,,
Ajout masse Fiber ratio global 1.1,171.381,,
Ajout masse Fiber ratio global 1.1 (kg/t),170.515,,
Ajout masse Fiber ratio global 1.1 kg/t papier,106.851,,
Ajout masse Fiber ratio global 1.1 machine PM,272.181,,
Ajout masse Fiber ratio global 1.1 ratio,425.847,,
Ajout masse Fiber ratio global 1.1 tour formation,134.353,,
Ajout masse Fiber ratio global 1.1 wet end,116.619,,
Ajout masse Fiber ratio global 1.1 — ligne papier,427.791,,
Ajout masse Fiber ratio kg/t papier,394.677,,
Ajout masse Fiber ratio machine PM,203.023,,
Ajout masse Fiber ratio ratio,277.052,,
Ajout masse Fiber ratio tour formation,348.883,,
Ajout masse Fiber ratio wet end,405.258,,
Ajout masse Fiber ratio — Cannelure Fluting,5.474,,
Ajout masse Fiber ratio — Cannelure Fluting (kg/t),176.169,,
Ajout masse Fiber ratio — Cannelure Fluting kg/t papier,101.998,,
Ajout masse Fiber ratio — Cannelure Fluting machine PM,179.494,,
